InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,OriginalDescription_x,MissingCustomerID_x,MissingDescription_x,IsCancelled_x,IsReturn_x,IsFreeItem_x,TotalPrice_x,Year_x,Month_x,MonthYear_x,YearQuarter_x,Hour_x,Minute_x,Time_x,TimeOfDay_x,OriginalDescription_y,MissingCustomerID_y,MissingDescription_y,IsCancelled_y,IsReturn_y,IsFreeItem_y,TotalPrice_y,Year_y,Month_y,MonthYear_y,YearQuarter_y,Hour_y,Minute_y,Time_y,TimeOfDay_y
537014,21040,MODERN VINTAGE COTTON SHOPPING BAG,-20,2010-12-03 15:40:00,0.0,,United Kingdom,,True,False,False,True,True,-0.0,2010,12,2010-12,2010Q4,15,40,15:40:00,Afternoon,,,,,,,,,,,,,,,
537015,37464,,-14,2010-12-03 15:41:00,0.0,,United Kingdom,,True,True,False,True,True,-0.0,2010,12,2010-12,2010Q4,15,41,15:41:00,Afternoon,,,,,,,,,,,,,,,
537016,21836,GINGHAM OVEN GLOVE RED HEART ,-15,2010-12-03 15:41:00,0.0,,United Kingdom,,True,False,False,True,True,-0.0,2010,12,2010-12,2010Q4,15,41,15:41:00,Afternoon,,,,,,,,,,,,,,,
537017,47556B,TEA TIME TEA TOWELS ,-69,2010-12-03 15:41:00,0.0,,United Kingdom,,True,False,False,True,True,-0.0,2010,12,2010-12,2010Q4,15,41,15:41:00,Afternoon,,,,,,,,,,,,,,,
537018,84562A,PINK/WHITE RIBBED MELAMINE JUG,-3,2010-12-03 15:42:00,0.0,,United Kingdom,,True,False,False,True,True,-0.0,2010,12,2010-12,2010Q4,15,42,15:42:00,Afternoon,,,,,,,,,,,,,,,
537019,37474,,-15,2010-12-03 15:43:00,0.0,,United Kingdom,,True,True,False,True,True,-0.0,2010,12,2010-12,2010Q4,15,43,15:43:00,Afternoon,,,,,,,,,,,,,,,
537020,21807,WHITE CHRISTMAS STAR DECORATION,-30,2010-12-03 15:43:00,0.0,,United Kingdom,,True,False,False,True,True,-0.0,2010,12,2010-12,2010Q4,15,43,15:43:00,Afternoon,,,,,,,,,,,,,,,
537021,21011,GLITTER SNOW PEAR TREE DECORATION,-20,2010-12-03 15:43:00,0.0,,United Kingdom,,True,False,False,True,True,-0.0,2010,12,2010-12,2010Q4,15,43,15:43:00,Afternoon,,,,,,,,,,,,,,,
537027,18098C,PORCELAIN BUTTERFLY OIL BURNER,-140,2010-12-03 16:36:00,0.0,,United Kingdom,,True,False,False,True,True,-0.0,2010,12,2010-12,2010Q4,16,36,16:36:00,Afternoon,,,,,,,,,,,,,,,
537028,21696,SMALL SILVER TRELLIS CANDLEPOT,-320,2010-12-03 16:36:00,0.0,,United Kingdom,,True,False,False,True,True,-0.0,2010,12,2010-12,2010Q4,16,36,16:36:00,Afternoon,,,,,,,,,,,,,,,
537029,37476,CONDIMENT TRAY 4 BOWLS AND 4 SPOONS,-6,2010-12-03 16:37:00,0.0,,United Kingdom,,True,False,False,True,True,-0.0,2010,12,2010-12,2010Q4,16,37,16:37:00,Afternoon,,,,,,,,,,,,,,,
537032,21275,ZINC TOP  2 DOOR WOODEN SHELF ,-30,2010-12-03 16:50:00,0.0,,United Kingdom,?,True,False,False,True,True,-0.0,2010,12,2010-12,2010Q4,16,50,16:50:00,Afternoon,,,,,,,,,,,,,,,
537363,84569B,PACK 3 FIRE ENGINE/CAR PATCHES,-20,2010-12-06 12:35:00,0.0,,United Kingdom,,True,False,False,True,True,-0.0,2010,12,2010-12,2010Q4,12,35,12:35:00,Morning,,,,,,,,,,,,,,,
537364,21027,NINJA RABBIT PINK,-70,2010-12-06 12:36:00,0.0,,United Kingdom,,True,False,False,True,True,-0.0,2010,12,2010-12,2010Q4,12,36,12:36:00,Morning,,,,,,,,,,,,,,,
537401,84898F,YELLOW FLOWERS FELT HANDBAG KIT,-24,2010-12-06 14:37:00,0.0,,United Kingdom,,True,False,False,True,True,-0.0,2010,12,2010-12,2010Q4,14,37,14:37:00,Afternoon,,,,,,,,,,,,,,,
537425,84968F,SET OF 16 VINTAGE SKY BLUE CUTLERY,-20,2010-12-06 15:35:00,0.0,,United Kingdom,check,True,False,False,True,True,-0.0,2010,12,2010-12,2010Q4,15,35,15:35:00,Afternoon,,,,,,,,,,,,,,,
537426,84968E,SET OF 16 VINTAGE BLACK CUTLERY,-35,2010-12-06 15:36:00,0.0,,United Kingdom,check,True,False,False,True,True,-0.0,2010,12,2010-12,2010Q4,15,36,15:36:00,Afternoon,,,,,,,,,,,,,,,
537427,84968B,,-21,2010-12-06 15:37:00,0.0,,United Kingdom,,True,True,False,True,True,-0.0,2010,12,2010-12,2010Q4,15,37,15:37:00,Afternoon,,,,,,,,,,,,,,,
537432,35833G,4 GOLD FLOCK CHRISTMAS BALLS,-43,2010-12-06 16:10:00,0.0,,United Kingdom,damages,True,False,False,True,True,-0.0,2010,12,2010-12,2010Q4,16,10,16:10:00,Afternoon,,,,,,,,,,,,,,,
537449,21054,NURSE'S BAG SOFT TOY,-30,2010-12-07 09:26:00,0.0,,United Kingdom,,True,False,False,True,True,-0.0,2010,12,2010-12,2010Q4,9,26,09:26:00,Morning,,,,,,,,,,,,,,,
537450,20684,STRAWBERRY DREAM CHILDS UMBRELLA,-19,2010-12-07 09:26:00,0.0,,United Kingdom,,True,False,False,True,True,-0.0,2010,12,2010-12,2010Q4,9,26,09:26:00,Morning,,,,,,,,,,,,,,,
537451,84881,BLUE WIRE SPIRAL CANDLE HOLDER,-11,2010-12-07 09:27:00,0.0,,United Kingdom,,True,False,False,True,True,-0.0,2010,12,2010-12,2010Q4,9,27,09:27:00,Morning,,,,,,,,,,,,,,,
537452,20941,FROG CANDLE,-24,2010-12-07 09:28:00,0.0,,United Kingdom,,True,False,False,True,True,-0.0,2010,12,2010-12,2010Q4,9,28,09:28:00,Morning,,,,,,,,,,,,,,,
537453,21248,DOOR HANGER  MUM + DADS ROOM,-18,2010-12-07 09:28:00,0.0,,United Kingdom,,True,False,False,True,True,-0.0,2010,12,2010-12,2010Q4,9,28,09:28:00,Morning,,,,,,,,,,,,,,,
537454,21349,IVY HEART WREATH,-44,2010-12-07 09:30:00,0.0,,United Kingdom,,True,False,False,True,True,-0.0,2010,12,2010-12,2010Q4,9,30,09:30:00,Morning,,,,,,,,,,,,,,,
537455,22155,STAR DECORATION RUSTIC,-70,2010-12-07 09:31:00,0.0,,United Kingdom,,True,False,False,True,True,-0.0,2010,12,2010-12,2010Q4,9,31,09:31:00,Morning,,,,,,,,,,,,,,,
537466,21488,RED WHITE SCARF  HOT WATER BOTTLE,-50,2010-12-07 10:33:00,0.0,,United Kingdom,,True,False,False,True,True,-0.0,2010,12,2010-12,2010Q4,10,33,10:33:00,Morning,,,,,,,,,,,,,,,
537687,84840,SWEETHEART CARRY-ALL BASKET,-9,2010-12-08 10:26:00,0.0,,United Kingdom,,True,False,False,True,True,-0.0,2010,12,2010-12,2010Q4,10,26,10:26:00,Morning,,,,,,,,,,,,,,,
537870,21486,PINK HEART DOTS HOT WATER BOTTLE,-77,2010-12-08 17:08:00,0.0,,United Kingdom,,True,False,False,True,True,-0.0,2010,12,2010-12,2010Q4,17,8,17:08:00,Afternoon,,,,,,,,,,,,,,,
537999,22034,ROBIN CHRISTMAS CARD,-223,2010-12-09 11:44:00,0.0,,United Kingdom,,True,False,False,True,True,-0.0,2010,12,2010-12,2010Q4,11,44,11:44:00,Morning,,,,,,,,,,,,,,,
538042,21763,VINTAGE WOODEN BAR STOOL,-4,2010-12-09 13:10:00,0.0,,United Kingdom,,True,False,False,True,True,-0.0,2010,12,2010-12,2010Q4,13,10,13:10:00,Afternoon,,,,,,,,,,,,,,,
538043,22833,HALL CABINET WITH 3 DRAWERS,-1,2010-12-09 13:10:00,0.0,,United Kingdom,,True,False,False,True,True,-0.0,2010,12,2010-12,2010Q4,13,10,13:10:00,Afternoon,,,,,,,,,,,,,,,
538046,85008,SET OF 3 CONEY ISLAND OVAL BOXES,-15,2010-12-09 13:12:00,0.0,,United Kingdom,,True,False,False,True,True,-0.0,2010,12,2010-12,2010Q4,13,12,13:12:00,Afternoon,,,,,,,,,,,,,,,
538047,21429,RED GINGHAM ROSE JEWELLERY BOX,-70,2010-12-09 13:13:00,0.0,,United Kingdom,,True,False,False,True,True,-0.0,2010,12,2010-12,2010Q4,13,13,13:13:00,Afternoon,,,,,,,,,,,,,,,
538054,85167B,BLACK GRAND BAROQUE PHOTO FRAME,-24,2010-12-09 13:34:00,0.0,,United Kingdom,,True,False,False,True,True,-0.0,2010,12,2010-12,2010Q4,13,34,13:34:00,Afternoon,,,,,,,,,,,,,,,
538055,22454,MEASURING TAPE BABUSHKA RED,-20,2010-12-09 13:34:00,0.0,,United Kingdom,,True,False,False,True,True,-0.0,2010,12,2010-12,2010Q4,13,34,13:34:00,Afternoon,,,,,,,,,,,,,,,
538058,20966,SANDWICH BATH SPONGE,-150,2010-12-09 13:38:00,0.0,,United Kingdom,,True,False,False,True,True,-0.0,2010,12,2010-12,2010Q4,13,38,13:38:00,Afternoon,,,,,,,,,,,,,,,
538061,21801,CHRISTMAS TREE DECORATION WITH BELL,-38,2010-12-09 13:39:00,0.0,,United Kingdom,,True,False,False,True,True,-0.0,2010,12,2010-12,2010Q4,13,39,13:39:00,Afternoon,,,,,,,,,,,,,,,
538072,22423,REGENCY CAKESTAND 3 TIER,-13,2010-12-09 14:10:00,0.0,,United Kingdom,faulty,True,False,False,True,True,-0.0,2010,12,2010-12,2010Q4,14,10,14:10:00,Afternoon,,,,,,,,,,,,,,,
538074,21743,STAR PORTABLE TABLE LIGHT ,-80,2010-12-09 14:11:00,0.0,,United Kingdom,,True,False,False,True,True,-0.0,2010,12,2010-12,2010Q4,14,11,14:11:00,Afternoon,,,,,,,,,,,,,,,
538090,20956,PORCELAIN T-LIGHT HOLDERS ASSORTED,-723,2010-12-09 14:48:00,0.0,,United Kingdom,?,True,False,False,True,True,-0.0,2010,12,2010-12,2010Q4,14,48,14:48:00,Afternoon,,,,,,,,,,,,,,,
538092,37467,PIG MUG IN TWO COLOUR DESIGNS,-177,2010-12-09 14:49:00,0.0,,United Kingdom,,True,False,False,True,True,-0.0,2010,12,2010-12,2010Q4,14,49,14:49:00,Afternoon,,,,,,,,,,,,,,,
538158,20892,,-32,2010-12-09 17:17:00,0.0,,United Kingdom,,True,True,False,True,True,-0.0,2010,12,2010-12,2010Q4,17,17,17:17:00,Afternoon,,,,,,,,,,,,,,,
538159,21324,HANGING MEDINA LANTERN SMALL,-18,2010-12-09 17:17:00,0.0,,United Kingdom,,True,False,False,True,True,-0.0,2010,12,2010-12,2010Q4,17,17,17:17:00,Afternoon,,,,,,,,,,,,,,,
538161,46000S,POLYESTER FILLER PAD 40x40cm,-100,2010-12-09 17:25:00,0.0,,United Kingdom,Dotcom sales,True,False,False,True,True,-0.0,2010,12,2010-12,2010Q4,17,25,17:25:00,Afternoon,,,,,,,,,,,,,,,
538162,46000M,POLYESTER FILLER PAD 45x45cm,-100,2010-12-09 17:25:00,0.0,,United Kingdom,Dotcom sales,True,False,False,True,True,-0.0,2010,12,2010-12,2010Q4,17,25,17:25:00,Afternoon,,,,,,,,,,,,,,,
538173,22353,LUNCH BOX WITH CUTLERY FAIRY CAKES ,-28,2010-12-10 09:35:00,0.0,,United Kingdom,,True,False,False,True,True,-0.0,2010,12,2010-12,2010Q4,9,35,09:35:00,Morning,,,,,,,,,,,,,,,
538241,21431,,-21,2010-12-10 12:00:00,0.0,,United Kingdom,,True,True,False,True,True,-0.0,2010,12,2010-12,2010Q4,12,0,12:00:00,Morning,,,,,,,,,,,,,,,
538247,79067,CORONA MEXICAN TRAY,-145,2010-12-10 12:09:00,0.0,,United Kingdom,,True,False,False,True,True,-0.0,2010,12,2010-12,2010Q4,12,9,12:09:00,Morning,,,,,,,,,,,,,,,
538837,85135B,BLUE DRAGONFLY HELICOPTER,-40,2010-12-14 13:10:00,0.0,,United Kingdom,,True,False,False,True,True,-0.0,2010,12,2010-12,2010Q4,13,10,13:10:00,Afternoon,,,,,,,,,,,,,,,
538906,21895,POTTING SHED SOW 'N' GROW SET,-5,2010-12-15 10:31:00,0.0,,United Kingdom,,True,False,False,True,True,-0.0,2010,12,2010-12,2010Q4,10,31,10:31:00,Morning,,,,,,,,,,,,,,,
539980,35001W,HAND OPEN SHAPE DECO.WHITE,-36,2010-12-23 14:34:00,0.0,,United Kingdom,,True,False,False,True,True,-0.0,2010,12,2010-12,2010Q4,14,34,14:34:00,Afternoon,,,,,,,,,,,,,,,
539994,22830,UTILTY CABINET WITH HOOKS,-1,2011-01-04 10:09:00,0.0,,United Kingdom,,True,False,False,True,True,-0.0,2011,1,2011-01,2011Q1,10,9,10:09:00,Morning,,,,,,,,,,,,,,,
539995,85064,CREAM SWEETHEART LETTER RACK,-12,2011-01-04 10:12:00,0.0,,United Kingdom,,True,False,False,True,True,-0.0,2011,1,2011-01,2011Q1,10,12,10:12:00,Morning,,,,,,,,,,,,,,,
539996,21784,SHOE SHINE BOX ,-10,2011-01-04 10:12:00,0.0,,United Kingdom,,True,False,False,True,True,-0.0,2011,1,2011-01,2011Q1,10,12,10:12:00,Morning,,,,,,,,,,,,,,,
539999,20892,,-1,2011-01-04 10:16:00,0.0,,United Kingdom,,True,True,False,True,True,-0.0,2011,1,2011-01,2011Q1,10,16,10:16:00,Morning,,,,,,,,,,,,,,,
540000,84499,BLACK FLOWER CANDLE PLATE,-9,2011-01-04 10:17:00,0.0,,United Kingdom,,True,False,False,True,True,-0.0,2011,1,2011-01,2011Q1,10,17,10:17:00,Morning,,,,,,,,,,,,,,,
540008,85230F,JASMINE VOTIVE CANDLE,-48,2011-01-04 11:10:00,0.0,,United Kingdom,,True,False,False,True,True,-0.0,2011,1,2011-01,2011Q1,11,10,11:10:00,Morning,,,,,,,,,,,,,,,
540009,22158,3 HEARTS HANGING DECORATION RUSTIC,-120,2011-01-04 11:10:00,0.0,,United Kingdom,,True,False,False,True,True,-0.0,2011,1,2011-01,2011Q1,11,10,11:10:00,Morning,,,,,,,,,,,,,,,
540010,22501,PICNIC BASKET WICKER LARGE,-100,2011-01-04 11:13:00,0.0,,United Kingdom,reverse 21/5/10 adjustment,True,False,False,True,True,-0.0,2011,1,2011-01,2011Q1,11,13,11:13:00,Morning,,,,,,,,,,,,,,,
540012,22502,PICNIC BASKET WICKER SMALL,-100,2011-01-04 11:14:00,0.0,,United Kingdom,reverse 21/5/10 adjustment,True,False,False,True,True,-0.0,2011,1,2011-01,2011Q1,11,14,11:14:00,Morning,,,,,,,,,,,,,,,
540100,22837,HOT WATER BOTTLE BABUSHKA ,-106,2011-01-04 16:53:00,0.0,,United Kingdom,?,True,False,False,True,True,-0.0,2011,1,2011-01,2011Q1,16,53,16:53:00,Afternoon,,,,,,,,,,,,,,,
540119,22865,HAND WARMER OWL DESIGN,-60,2011-01-05 10:07:00,0.0,,United Kingdom,,True,False,False,True,True,-0.0,2011,1,2011-01,2011Q1,10,7,10:07:00,Morning,,,,,,,,,,,,,,,
540241,35957,SMALLFOLKART BAUBLE CHRISTMAS DEC,-939,2011-01-05 15:17:00,0.0,,United Kingdom,,True,False,False,True,True,-0.0,2011,1,2011-01,2011Q1,15,17,15:17:00,Afternoon,,,,,,,,,,,,,,,
540252,22198,LARGE POPCORN HOLDER ,-100,2011-01-05 16:25:00,0.0,,United Kingdom,,True,False,False,True,True,-0.0,2011,1,2011-01,2011Q1,16,25,16:25:00,Afternoon,,,,,,,,,,,,,,,
540272,90096,NECKLACE+BRACELET SET BLUE BLOSSOM,-54,2011-01-06 11:57:00,0.0,,United Kingdom,,True,False,False,True,True,-0.0,2011,1,2011-01,2011Q1,11,57,11:57:00,Morning,,,,,,,,,,,,,,,
540369,47591D,PINK FAIRY CAKE CHILDRENS APRON,-201,2011-01-06 16:20:00,0.0,,United Kingdom,,True,False,False,True,True,-0.0,2011,1,2011-01,2011Q1,16,20,16:20:00,Afternoon,,,,,,,,,,,,,,,
540549,21587,COSY HOUR GIANT TUBE MATCHES,-53,2011-01-10 09:07:00,0.0,,United Kingdom,,True,False,False,True,True,-0.0,2011,1,2011-01,2011Q1,9,7,09:07:00,Morning,,,,,,,,,,,,,,,
540558,21258,VICTORIAN SEWING BOX LARGE,-29,2011-01-10 10:04:00,0.0,,United Kingdom,?,True,False,False,True,True,-0.0,2011,1,2011-01,2011Q1,10,4,10:04:00,Morning,,,,,,,,,,,,,,,
540560,21589,,-14,2011-01-10 10:08:00,0.0,,United Kingdom,,True,True,False,True,True,-0.0,2011,1,2011-01,2011Q1,10,8,10:08:00,Morning,,,,,,,,,,,,,,,
540564,22617,BAKING SET SPACEBOY DESIGN,-2600,2011-01-10 10:36:00,0.0,,United Kingdom,"mouldy, thrown away.",True,False,False,True,True,-0.0,2011,1,2011-01,2011Q1,10,36,10:36:00,Morning,,,,,,,,,,,,,,,
540637,21275,ZINC TOP  2 DOOR WOODEN SHELF ,-5,2011-01-10 12:13:00,0.0,,United Kingdom,,True,False,False,True,True,-0.0,2011,1,2011-01,2011Q1,12,13,12:13:00,Morning,,,,,,,,,,,,,,,
540638,72038P,damages,-990,2011-01-10 12:14:00,0.0,,United Kingdom,damages,True,False,False,True,True,-0.0,2011,1,2011-01,2011Q1,12,14,12:14:00,Morning,,,,,,,,,,,,,,,
540650,85124C,GREEN JUICY FRUIT PHOTO FRAME,-8,2011-01-10 14:59:00,0.0,,United Kingdom,,True,False,False,True,True,-0.0,2011,1,2011-01,2011Q1,14,59,14:59:00,Afternoon,,,,,,,,,,,,,,,
540651,82599,FANNY'S REST STOPMETAL SIGN,-290,2011-01-10 15:00:00,0.0,,United Kingdom,?,True,False,False,True,True,-0.0,2011,1,2011-01,2011Q1,15,0,15:00:00,Afternoon,,,,,,,,,,,,,,,
540678,21667,,-1,2011-01-10 16:21:00,0.0,,United Kingdom,,True,True,False,True,True,-0.0,2011,1,2011-01,2011Q1,16,21,16:21:00,Afternoon,,,,,,,,,,,,,,,
540679,21667,,-1,2011-01-10 16:21:00,0.0,,United Kingdom,,True,True,False,True,True,-0.0,2011,1,2011-01,2011Q1,16,21,16:21:00,Afternoon,,,,,,,,,,,,,,,
540683,84546,,-45,2011-01-10 17:00:00,0.0,,United Kingdom,,True,True,False,True,True,-0.0,2011,1,2011-01,2011Q1,17,0,17:00:00,Afternoon,,,,,,,,,,,,,,,
540684,35271S,GOLD PRINT PAPER BAG,-13,2011-01-10 17:01:00,0.0,,United Kingdom,,True,False,False,True,True,-0.0,2011,1,2011-01,2011Q1,17,1,17:01:00,Afternoon,,,,,,,,,,,,,,,
540778,84029E,RED WOOLLY HOTTIE WHITE HEART.,-50,2011-01-11 11:15:00,0.0,,United Kingdom,,True,False,False,True,True,-0.0,2011,1,2011-01,2011Q1,11,15,11:15:00,Morning,,,,,,,,,,,,,,,
540978,84050,PINK HEART SHAPE EGG FRYING PAN,-310,2011-01-12 15:04:00,0.0,,United Kingdom,counted,True,False,False,True,True,-0.0,2011,1,2011-01,2011Q1,15,4,15:04:00,Afternoon,,,,,,,,,,,,,,,
540987,17011A,,-61,2011-01-12 16:15:00,0.0,,United Kingdom,,True,True,False,True,True,-0.0,2011,1,2011-01,2011Q1,16,15,16:15:00,Afternoon,,,,,,,,,,,,,,,
541000,21632,VINTAGE PINK DECORATIVE PARASOL,-41,2011-01-13 10:11:00,0.0,,United Kingdom,,True,False,False,True,True,-0.0,2011,1,2011-01,2011Q1,10,11,10:11:00,Morning,,,,,,,,,,,,,,,
541482,22837,HOT WATER BOTTLE BABUSHKA ,-35,2011-01-18 12:32:00,0.0,,United Kingdom,,True,False,False,True,True,-0.0,2011,1,2011-01,2011Q1,12,32,12:32:00,Morning,,,,,,,,,,,,,,,
541487,85118,HEART T-LIGHT HOLDER,-35,2011-01-18 13:19:00,0.0,,United Kingdom,,True,False,False,True,True,-0.0,2011,1,2011-01,2011Q1,13,19,13:19:00,Afternoon,,,,,,,,,,,,,,,
541519,21429,RED GINGHAM ROSE JEWELLERY BOX,-15,2011-01-19 09:11:00,0.0,,United Kingdom,,True,False,False,True,True,-0.0,2011,1,2011-01,2011Q1,9,11,09:11:00,Morning,,,,,,,,,,,,,,,
541600,22866,HAND WARMER SCOTTY DOG DESIGN,-64,2011-01-19 16:48:00,0.0,,United Kingdom,,True,False,False,True,True,-0.0,2011,1,2011-01,2011Q1,16,48,16:48:00,Afternoon,,,,,,,,,,,,,,,
541601,22632,HAND WARMER RED RETROSPOT,-84,2011-01-19 16:48:00,0.0,,United Kingdom,,True,False,False,True,True,-0.0,2011,1,2011-01,2011Q1,16,48,16:48:00,Afternoon,,,,,,,,,,,,,,,
541685,22351,DOTCOMGIFTSHOP TEA TOWEL,-1400,2011-01-20 15:41:00,0.0,,United Kingdom,Given away,True,False,False,True,True,-0.0,2011,1,2011-01,2011Q1,15,41,15:41:00,Afternoon,,,,,,,,,,,,,,,
541687,46000S,POLYESTER FILLER PAD 40x40cm,-300,2011-01-20 15:42:00,0.0,,United Kingdom,Dotcom,True,False,False,True,True,-0.0,2011,1,2011-01,2011Q1,15,42,15:42:00,Afternoon,,,,,,,,,,,,,,,
541702,22451,SILK PURSE BABUSHKA RED,-30,2011-01-21 09:44:00,0.0,,United Kingdom,,True,False,False,True,True,-0.0,2011,1,2011-01,2011Q1,9,44,09:44:00,Morning,,,,,,,,,,,,,,,
541802,20854,BLUE PATCH PURSE PINK HEART,-80,2011-01-21 14:45:00,0.0,,United Kingdom,,True,False,False,True,True,-0.0,2011,1,2011-01,2011Q1,14,45,14:45:00,Afternoon,,,,,,,,,,,,,,,
541882,48185,DOORMAT FAIRY CAKE,-57,2011-01-24 10:54:00,0.0,,United Kingdom,?,True,False,False,True,True,-0.0,2011,1,2011-01,2011Q1,10,54,10:54:00,Morning,,,,,,,,,,,,,,,
541967,84823,DANISH ROSE FOLDING CHAIR,-3,2011-01-24 13:35:00,0.0,,United Kingdom,,True,False,False,True,True,-0.0,2011,1,2011-01,2011Q1,13,35,13:35:00,Afternoon,,,,,,,,,,,,,,,
542225,85096,HILDA CANDY SPOT RABBIT,-59,2011-01-26 13:10:00,0.0,,United Kingdom,label mix up,True,False,False,True,True,-0.0,2011,1,2011-01,2011Q1,13,10,13:10:00,Afternoon,,,,,,,,,,,,,,,
542361,85161,ACRYLIC GEOMETRIC LAMP,-20,2011-01-27 12:47:00,0.0,,United Kingdom,samples/damages,True,False,False,True,True,-0.0,2011,1,2011-01,2011Q1,12,47,12:47:00,Morning,,,,,,,,,,,,,,,
542362,20699,MOUSEY LONG LEGS SOFT TOY,-16,2011-01-27 12:49:00,0.0,,United Kingdom,,True,False,False,True,True,-0.0,2011,1,2011-01,2011Q1,12,49,12:49:00,Morning,,,,,,,,,,,,,,,
542365,21897,POTTING SHED CANDLE CITRONELLA,-22,2011-01-27 12:51:00,0.0,,United Kingdom,,True,False,False,True,True,-0.0,2011,1,2011-01,2011Q1,12,51,12:51:00,Morning,,,,,,,,,,,,,,,
