InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,OriginalDescription,TotalPrice,Year,Month,MonthYear,YearQuarter,Time,Hour,Minute,Weekday,TimeOfDay,MissingCustomerID,MissingDescription,IsValidSale,IsValidReturn
C536543,22355,CHARLOTTE BAG SUKI DESIGN,-2,2010-12-01 14:30:00,0.85,17841,United Kingdom,CHARLOTTE BAG SUKI DESIGN,-1.7,2010,12,2010-12,2010Q4,14:30:00,14,30,Wednesday,Afternoon,False,False,False,True
C536548,22244,3 HOOK HANGER MAGIC GARDEN,-4,2010-12-01 14:33:00,1.95,12472,Germany,3 HOOK HANGER MAGIC GARDEN,-7.8,2010,12,2010-12,2010Q4,14:33:00,14,33,Wednesday,Afternoon,False,False,False,True
C536548,22242,5 HOOK HANGER MAGIC TOADSTOOL,-5,2010-12-01 14:33:00,1.65,12472,Germany,5 HOOK HANGER MAGIC TOADSTOOL,-8.25,2010,12,2010-12,2010Q4,14:33:00,14,33,Wednesday,Afternoon,False,False,False,True
C536548,20914,SET/5 RED RETROSPOT LID GLASS BOWLS,-1,2010-12-01 14:33:00,2.95,12472,Germany,SET/5 RED RETROSPOT LID GLASS BOWLS,-2.95,2010,12,2010-12,2010Q4,14:33:00,14,33,Wednesday,Afternoon,False,False,False,True
C536548,22892,SET OF SALT AND PEPPER TOADSTOOLS,-7,2010-12-01 14:33:00,1.25,12472,Germany,SET OF SALT AND PEPPER TOADSTOOLS,-8.75,2010,12,2010-12,2010Q4,14:33:00,14,33,Wednesday,Afternoon,False,False,False,True
C536548,22654,DELUXE SEWING KIT ,-1,2010-12-01 14:33:00,5.95,12472,Germany,DELUXE SEWING KIT ,-5.95,2010,12,2010-12,2010Q4,14:33:00,14,33,Wednesday,Afternoon,False,False,False,True
C536548,22767,TRIPLE PHOTO FRAME CORNICE ,-2,2010-12-01 14:33:00,9.95,12472,Germany,TRIPLE PHOTO FRAME CORNICE ,-19.9,2010,12,2010-12,2010Q4,14:33:00,14,33,Wednesday,Afternoon,False,False,False,True
C536548,22333,RETROSPOT PARTY BAG + STICKER SET,-1,2010-12-01 14:33:00,1.65,12472,Germany,RETROSPOT PARTY BAG + STICKER SET,-1.65,2010,12,2010-12,2010Q4,14:33:00,14,33,Wednesday,Afternoon,False,False,False,True
C536548,22245,"HOOK, 1 HANGER ,MAGIC GARDEN",-2,2010-12-01 14:33:00,0.85,12472,Germany,"HOOK, 1 HANGER ,MAGIC GARDEN",-1.7,2010,12,2010-12,2010Q4,14:33:00,14,33,Wednesday,Afternoon,False,False,False,True
C536548,22077,6 RIBBONS RUSTIC CHARM,-6,2010-12-01 14:33:00,1.65,12472,Germany,6 RIBBONS RUSTIC CHARM,-9.899999999999999,2010,12,2010-12,2010Q4,14:33:00,14,33,Wednesday,Afternoon,False,False,False,True
C536548,22631,CIRCUS PARADE LUNCH BOX ,-1,2010-12-01 14:33:00,1.95,12472,Germany,CIRCUS PARADE LUNCH BOX ,-1.95,2010,12,2010-12,2010Q4,14:33:00,14,33,Wednesday,Afternoon,False,False,False,True
C536548,22168,ORGANISER WOOD ANTIQUE WHITE ,-2,2010-12-01 14:33:00,8.5,12472,Germany,ORGANISER WOOD ANTIQUE WHITE ,-17.0,2010,12,2010-12,2010Q4,14:33:00,14,33,Wednesday,Afternoon,False,False,False,True
C536548,21218,RED SPOTTY BISCUIT TIN,-3,2010-12-01 14:33:00,3.75,12472,Germany,RED SPOTTY BISCUIT TIN,-11.25,2010,12,2010-12,2010Q4,14:33:00,14,33,Wednesday,Afternoon,False,False,False,True
C536548,20957,PORCELAIN HANGING BELL SMALL,-1,2010-12-01 14:33:00,1.45,12472,Germany,PORCELAIN HANGING BELL SMALL,-1.45,2010,12,2010-12,2010Q4,14:33:00,14,33,Wednesday,Afternoon,False,False,False,True
C536548,22580,ADVENT CALENDAR GINGHAM SACK,-4,2010-12-01 14:33:00,5.95,12472,Germany,ADVENT CALENDAR GINGHAM SACK,-23.8,2010,12,2010-12,2010Q4,14:33:00,14,33,Wednesday,Afternoon,False,False,False,True
C536606,20914,SET/5 RED RETROSPOT LID GLASS BOWLS,-2,2010-12-02 09:10:00,2.95,14092,United Kingdom,SET/5 RED RETROSPOT LID GLASS BOWLS,-5.9,2010,12,2010-12,2010Q4,09:10:00,9,10,Thursday,Morning,False,False,False,True
C536622,22752,SET 7 BABUSHKA NESTING BOXES,-2,2010-12-02 10:37:00,8.5,12471,Germany,SET 7 BABUSHKA NESTING BOXES,-17.0,2010,12,2010-12,2010Q4,10:37:00,10,37,Thursday,Morning,False,False,False,True
C536625,22839,3 TIER CAKE TIN GREEN AND CREAM,-2,2010-12-02 10:46:00,14.95,14766,United Kingdom,3 TIER CAKE TIN GREEN AND CREAM,-29.9,2010,12,2010-12,2010Q4,10:46:00,10,46,Thursday,Morning,False,False,False,True
C536642,21463,MIRRORED DISCO BALL ,-1,2010-12-02 11:56:00,5.95,14390,United Kingdom,MIRRORED DISCO BALL ,-5.95,2010,12,2010-12,2010Q4,11:56:00,11,56,Thursday,Morning,False,False,False,True
C536734,22780,LIGHT GARLAND BUTTERFILES PINK,-4,2010-12-02 12:50:00,4.25,16042,United Kingdom,LIGHT GARLAND BUTTERFILES PINK,-17.0,2010,12,2010-12,2010Q4,12:50:00,12,50,Thursday,Morning,False,False,False,True
C536734,85048,15CM CHRISTMAS GLASS BALL 20 LIGHTS,-1,2010-12-02 12:50:00,7.95,16042,United Kingdom,15CM CHRISTMAS GLASS BALL 20 LIGHTS,-7.95,2010,12,2010-12,2010Q4,12:50:00,12,50,Thursday,Morning,False,False,False,True
C536737,22798,ANTIQUE GLASS DRESSING TABLE POT,-2,2010-12-02 13:05:00,2.95,15922,United Kingdom,ANTIQUE GLASS DRESSING TABLE POT,-5.9,2010,12,2010-12,2010Q4,13:05:00,13,5,Thursday,Afternoon,False,False,False,True
C536757,84347,ROTATING SILVER ANGELS T-LIGHT HLDR,-9360,2010-12-02 14:23:00,0.03,15838,United Kingdom,ROTATING SILVER ANGELS T-LIGHT HLDR,-280.8,2010,12,2010-12,2010Q4,14:23:00,14,23,Thursday,Afternoon,False,False,False,True
C536758,21314,SMALL GLASS HEART TRINKET POT,-1,2010-12-02 14:25:00,2.1,13767,United Kingdom,SMALL GLASS HEART TRINKET POT,-2.1,2010,12,2010-12,2010Q4,14:25:00,14,25,Thursday,Afternoon,False,False,False,True
C536760,22175,PINK OWL SOFT TOY,-1,2010-12-02 14:29:00,2.95,17547,United Kingdom,PINK OWL SOFT TOY,-2.95,2010,12,2010-12,2010Q4,14:29:00,14,29,Thursday,Afternoon,False,False,False,True
C536760,22273,FELTCRAFT DOLL MOLLY,-3,2010-12-02 14:29:00,2.95,17547,United Kingdom,FELTCRAFT DOLL MOLLY,-8.850000000000001,2010,12,2010-12,2010Q4,14:29:00,14,29,Thursday,Afternoon,False,False,False,True
C536807,22501,PICNIC BASKET WICKER LARGE,-2,2010-12-02 16:45:00,9.95,15834,United Kingdom,PICNIC BASKET WICKER LARGE,-19.9,2010,12,2010-12,2010Q4,16:45:00,16,45,Thursday,Afternoon,False,False,False,True
C536807,22778,GLASS CLOCHE SMALL,-1,2010-12-02 16:45:00,3.95,15834,United Kingdom,GLASS CLOCHE SMALL,-3.95,2010,12,2010-12,2010Q4,16:45:00,16,45,Thursday,Afternoon,False,False,False,True
C536812,22578,WOODEN STAR CHRISTMAS SCANDINAVIAN,-36,2010-12-02 16:58:00,0.85,16546,United Kingdom,WOODEN STAR CHRISTMAS SCANDINAVIAN,-30.599999999999998,2010,12,2010-12,2010Q4,16:58:00,16,58,Thursday,Afternoon,False,False,False,True
C536812,22574,HEART WOODEN CHRISTMAS DECORATION,-192,2010-12-02 16:58:00,0.72,16546,United Kingdom,HEART WOODEN CHRISTMAS DECORATION,-138.24,2010,12,2010-12,2010Q4,16:58:00,16,58,Thursday,Afternoon,False,False,False,True
C536812,22593,CHRISTMAS GINGHAM STAR,-144,2010-12-02 16:58:00,0.72,16546,United Kingdom,CHRISTMAS GINGHAM STAR,-103.67999999999999,2010,12,2010-12,2010Q4,16:58:00,16,58,Thursday,Afternoon,False,False,False,True
C536812,22595,GINGHAM HEART DECORATION,-144,2010-12-02 16:58:00,0.72,16546,United Kingdom,CHRISTMAS GINGHAM HEART,-103.67999999999999,2010,12,2010-12,2010Q4,16:58:00,16,58,Thursday,Afternoon,False,False,False,True
C536812,22588,CARD HOLDER GINGHAM HEART,-192,2010-12-02 16:58:00,2.1,16546,United Kingdom,CARD HOLDER GINGHAM HEART,-403.20000000000005,2010,12,2010-12,2010Q4,16:58:00,16,58,Thursday,Afternoon,False,False,False,True
C536812,22130,PARTY CONE CHRISTMAS DECORATION ,-144,2010-12-02 16:58:00,0.72,16546,United Kingdom,PARTY CONE CHRISTMAS DECORATION ,-103.67999999999999,2010,12,2010-12,2010Q4,16:58:00,16,58,Thursday,Afternoon,False,False,False,True
C536814,21527,RED RETROSPOT TRADITIONAL TEAPOT ,-2,2010-12-02 17:03:00,7.95,13958,United Kingdom,RED RETROSPOT TRADITIONAL TEAPOT ,-15.9,2010,12,2010-12,2010Q4,17:03:00,17,3,Thursday,Afternoon,False,False,False,True
C536814,72799E,IVORY PILLAR CANDLE SILVER FLOCK,-6,2010-12-02 17:03:00,2.95,13958,United Kingdom,IVORY PILLAR CANDLE SILVER FLOCK,-17.700000000000003,2010,12,2010-12,2010Q4,17:03:00,17,3,Thursday,Afternoon,False,False,False,True
C536814,85066,CREAM SWEETHEART MINI CHEST,-2,2010-12-02 17:03:00,12.75,13958,United Kingdom,CREAM SWEETHEART MINI CHEST,-25.5,2010,12,2010-12,2010Q4,17:03:00,17,3,Thursday,Afternoon,False,False,False,True
C536814,21586,KINGS CHOICE GIANT TUBE MATCHES,-12,2010-12-02 17:03:00,2.55,13958,United Kingdom,KINGS CHOICE GIANT TUBE MATCHES,-30.599999999999998,2010,12,2010-12,2010Q4,17:03:00,17,3,Thursday,Afternoon,False,False,False,True
C536814,21258,VICTORIAN SEWING BOX LARGE,-1,2010-12-02 17:03:00,12.75,13958,United Kingdom,VICTORIAN SEWING BOX LARGE,-12.75,2010,12,2010-12,2010Q4,17:03:00,17,3,Thursday,Afternoon,False,False,False,True
C536815,85175,CACTI T-LIGHT CANDLES,-1,2010-12-02 17:05:00,0.42,14443,United Kingdom,CACTI T-LIGHT CANDLES,-0.42,2010,12,2010-12,2010Q4,17:05:00,17,5,Thursday,Afternoon,False,False,False,True
C536815,22178,VICTORIAN GLASS HANGING T-LIGHT,-1,2010-12-02 17:05:00,1.25,14443,United Kingdom,VICTORIAN GLASS HANGING T-LIGHT,-1.25,2010,12,2010-12,2010Q4,17:05:00,17,5,Thursday,Afternoon,False,False,False,True
C536816,21129,SILVER FISHING GNOME ,-2,2010-12-02 17:06:00,6.95,14443,United Kingdom,SILVER FISHING GNOME ,-13.9,2010,12,2010-12,2010Q4,17:06:00,17,6,Thursday,Afternoon,False,False,False,True
C536817,22187,GREEN CHRISTMAS TREE CARD HOLDER,-1,2010-12-02 17:08:00,4.25,14156,EIRE,GREEN CHRISTMAS TREE CARD HOLDER,-4.25,2010,12,2010-12,2010Q4,17:08:00,17,8,Thursday,Afternoon,False,False,False,True
C536817,71477,COLOUR GLASS. STAR T-LIGHT HOLDER,-1,2010-12-02 17:08:00,3.25,14156,EIRE,COLOUR GLASS. STAR T-LIGHT HOLDER,-3.25,2010,12,2010-12,2010Q4,17:08:00,17,8,Thursday,Afternoon,False,False,False,True
C536818,84947,ANTIQUE SILVER TEA GLASS ENGRAVED,-1,2010-12-02 17:09:00,1.25,16995,United Kingdom,ANTIQUE SILVER TEA GLASS ENGRAVED,-1.25,2010,12,2010-12,2010Q4,17:09:00,17,9,Thursday,Afternoon,False,False,False,True
C536820,22877,NUMBER TILE COTTAGE GARDEN 9,-1,2010-12-02 17:14:00,1.95,18168,United Kingdom,NUMBER TILE COTTAGE GARDEN 9,-1.95,2010,12,2010-12,2010Q4,17:14:00,17,14,Thursday,Afternoon,False,False,False,True
C536820,22869,NUMBER TILE COTTAGE GARDEN 1,-1,2010-12-02 17:14:00,1.95,18168,United Kingdom,NUMBER TILE COTTAGE GARDEN 1,-1.95,2010,12,2010-12,2010Q4,17:14:00,17,14,Thursday,Afternoon,False,False,False,True
C536820,22878,NUMBER TILE COTTAGE GARDEN No,-1,2010-12-02 17:14:00,2.1,18168,United Kingdom,NUMBER TILE COTTAGE GARDEN No,-2.1,2010,12,2010-12,2010Q4,17:14:00,17,14,Thursday,Afternoon,False,False,False,True
C536820,21843,RED RETROSPOT CAKE STAND,-1,2010-12-02 17:14:00,10.95,18168,United Kingdom,RED RETROSPOT CAKE STAND,-10.95,2010,12,2010-12,2010Q4,17:14:00,17,14,Thursday,Afternoon,False,False,False,True
C536822,22847,BREAD BIN DINER STYLE IVORY,-2,2010-12-02 17:19:00,16.95,14625,United Kingdom,BREAD BIN DINER STYLE IVORY,-33.9,2010,12,2010-12,2010Q4,17:19:00,17,19,Thursday,Afternoon,False,False,False,True
C536822,21430,SET/3 RED GINGHAM ROSE STORAGE BOX,-1,2010-12-02 17:19:00,3.75,14625,United Kingdom,SET/3 RED GINGHAM ROSE STORAGE BOX,-3.75,2010,12,2010-12,2010Q4,17:19:00,17,19,Thursday,Afternoon,False,False,False,True
C536825,22617,BAKING SET SPACEBOY DESIGN,-1,2010-12-02 17:27:00,4.95,15384,United Kingdom,BAKING SET SPACEBOY DESIGN,-4.95,2010,12,2010-12,2010Q4,17:27:00,17,27,Thursday,Afternoon,False,False,False,True
C536825,22197,POPCORN HOLDER,-2,2010-12-02 17:27:00,0.85,15384,United Kingdom,SMALL POPCORN HOLDER,-1.7,2010,12,2010-12,2010Q4,17:27:00,17,27,Thursday,Afternoon,False,False,False,True
C536826,35004B,SET OF 3 BLACK FLYING DUCKS,-2,2010-12-02 17:30:00,4.65,17924,United Kingdom,SET OF 3 BLACK FLYING DUCKS,-9.3,2010,12,2010-12,2010Q4,17:30:00,17,30,Thursday,Afternoon,False,False,False,True
C536826,35004B,SET OF 3 BLACK FLYING DUCKS,-3,2010-12-02 17:30:00,4.65,17924,United Kingdom,SET OF 3 BLACK FLYING DUCKS,-13.950000000000001,2010,12,2010-12,2010Q4,17:30:00,17,30,Thursday,Afternoon,False,False,False,True
C536827,21527,RED RETROSPOT TRADITIONAL TEAPOT ,-3,2010-12-02 17:31:00,6.95,13408,United Kingdom,RED RETROSPOT TRADITIONAL TEAPOT ,-20.85,2010,12,2010-12,2010Q4,17:31:00,17,31,Thursday,Afternoon,False,False,False,True
C536828,22832,BROCANTE SHELF WITH HOOKS,-1,2010-12-02 17:35:00,10.75,14264,United Kingdom,BROCANTE SHELF WITH HOOKS,-10.75,2010,12,2010-12,2010Q4,17:35:00,17,35,Thursday,Afternoon,False,False,False,True
C536828,84946,ANTIQUE SILVER T-LIGHT GLASS,-3,2010-12-02 17:35:00,1.25,14264,United Kingdom,ANTIQUE SILVER TEA GLASS ETCHED,-3.75,2010,12,2010-12,2010Q4,17:35:00,17,35,Thursday,Afternoon,False,False,False,True
C536829,71477,COLOUR GLASS. STAR T-LIGHT HOLDER,-1,2010-12-02 17:36:00,3.25,13295,United Kingdom,COLOUR GLASS. STAR T-LIGHT HOLDER,-3.25,2010,12,2010-12,2010Q4,17:36:00,17,36,Thursday,Afternoon,False,False,False,True
C536850,22942,CHRISTMAS LIGHTS 10 SANTAS ,-48,2010-12-03 09:47:00,7.65,14213,United Kingdom,CHRISTMAS LIGHTS 10 SANTAS ,-367.20000000000005,2010,12,2010-12,2010Q4,09:47:00,9,47,Friday,Morning,False,False,False,True
C536850,22689,DOORMAT MERRY CHRISTMAS RED ,-50,2010-12-03 09:47:00,6.75,14213,United Kingdom,DOORMAT MERRY CHRISTMAS RED ,-337.5,2010,12,2010-12,2010Q4,09:47:00,9,47,Friday,Morning,False,False,False,True
C536850,22591,CARDHOLDER GINGHAM CHRISTMAS TREE,-50,2010-12-03 09:47:00,2.55,14213,United Kingdom,CARDHOLDER GINGHAM CHRISTMAS TREE,-127.49999999999999,2010,12,2010-12,2010Q4,09:47:00,9,47,Friday,Morning,False,False,False,True
C536850,22580,ADVENT CALENDAR GINGHAM SACK,-48,2010-12-03 09:47:00,4.95,14213,United Kingdom,ADVENT CALENDAR GINGHAM SACK,-237.60000000000002,2010,12,2010-12,2010Q4,09:47:00,9,47,Friday,Morning,False,False,False,True
C536850,22186,RED STAR CARD HOLDER,-48,2010-12-03 09:47:00,2.55,14213,United Kingdom,RED STAR CARD HOLDER,-122.39999999999999,2010,12,2010-12,2010Q4,09:47:00,9,47,Friday,Morning,False,False,False,True
C536853,84678,CLASSICAL ROSE SMALL VASE,-1,2010-12-03 10:07:00,2.55,14679,United Kingdom,CLASSICAL ROSE SMALL VASE,-2.55,2010,12,2010-12,2010Q4,10:07:00,10,7,Friday,Morning,False,False,False,True
C536854,22158,3 HEARTS HANGING DECORATION RUSTIC,-1,2010-12-03 10:09:00,2.95,15240,United Kingdom,3 HEARTS HANGING DECORATION RUSTIC,-2.95,2010,12,2010-12,2010Q4,10:09:00,10,9,Friday,Morning,False,False,False,True
C536854,22944,CHRISTMAS METAL POSTCARD WITH BELLS,-1,2010-12-03 10:09:00,1.25,15240,United Kingdom,CHRISTMAS METAL POSTCARD WITH BELLS,-1.25,2010,12,2010-12,2010Q4,10:09:00,10,9,Friday,Morning,False,False,False,True
C536854,21871,SAVE THE PLANET MUG,-1,2010-12-03 10:09:00,1.25,15240,United Kingdom,SAVE THE PLANET MUG,-1.25,2010,12,2010-12,2010Q4,10:09:00,10,9,Friday,Morning,False,False,False,True
C536855,21527,RED RETROSPOT TRADITIONAL TEAPOT ,-4,2010-12-03 10:11:00,7.95,18225,United Kingdom,RED RETROSPOT TRADITIONAL TEAPOT ,-31.8,2010,12,2010-12,2010Q4,10:11:00,10,11,Friday,Morning,False,False,False,True
C536978,22776,SWEETHEART CAKESTAND 3 TIER,-1,2010-12-03 14:19:00,9.95,17954,United Kingdom,SWEETHEART CAKESTAND 3 TIER,-9.95,2010,12,2010-12,2010Q4,14:19:00,14,19,Friday,Afternoon,False,False,False,True
C536979,84685,BEACH HUT KEY CABINET,-1,2010-12-03 14:23:00,3.75,17841,United Kingdom,BEACH HUT KEY CABINET,-3.75,2010,12,2010-12,2010Q4,14:23:00,14,23,Friday,Afternoon,False,False,False,True
C536979,22630,DOLLY GIRL LUNCH BOX,-1,2010-12-03 14:23:00,1.95,17841,United Kingdom,DOLLY GIRL LUNCH BOX,-1.95,2010,12,2010-12,2010Q4,14:23:00,14,23,Friday,Afternoon,False,False,False,True
C537024,20893,HANGING BAUBLE T-LIGHT HOLDER SMALL,-36,2010-12-03 16:21:00,2.1,13941,United Kingdom,HANGING BAUBLE T-LIGHT HOLDER SMALL,-75.60000000000001,2010,12,2010-12,2010Q4,16:21:00,16,21,Friday,Afternoon,False,False,False,True
C537039,22854,CREAM SWEETHEART EGG HOLDER,-1,2010-12-05 10:25:00,4.95,15708,United Kingdom,CREAM SWEETHEART EGG HOLDER,-4.95,2010,12,2010-12,2010Q4,10:25:00,10,25,Sunday,Morning,False,False,False,True
C537039,20936,FORKED CACTUS CANDLE,-1,2010-12-05 10:25:00,2.95,15708,United Kingdom,FORKED CACTUS CANDLE,-2.95,2010,12,2010-12,2010Q4,10:25:00,10,25,Sunday,Morning,False,False,False,True
C537039,85175,CACTI T-LIGHT CANDLES,-1,2010-12-05 10:25:00,0.42,15708,United Kingdom,CACTI T-LIGHT CANDLES,-0.42,2010,12,2010-12,2010Q4,10:25:00,10,25,Sunday,Morning,False,False,False,True
C537043,22575,METAL MERRY CHRISTMAS WREATH,-6,2010-12-05 10:48:00,1.95,15351,United Kingdom,METAL MERRY CHRISTMAS WREATH,-11.7,2010,12,2010-12,2010Q4,10:48:00,10,48,Sunday,Morning,False,False,False,True
C537043,11001,ASSTD DESIGN RACING CAR PEN,-1,2010-12-05 10:48:00,1.69,15351,United Kingdom,ASSTD DESIGN RACING CAR PEN,-1.69,2010,12,2010-12,2010Q4,10:48:00,10,48,Sunday,Morning,False,False,False,True
C537132,22788,BROCANTE COAT RACK,-2,2010-12-05 12:29:00,8.5,15221,United Kingdom,BROCANTE COAT RACK,-17.0,2010,12,2010-12,2010Q4,12:29:00,12,29,Sunday,Morning,False,False,False,True
C537132,22184,CAKE STAND VICTORIAN FILIGREE LARGE,-1,2010-12-05 12:29:00,8.5,15221,United Kingdom,CAKE STAND VICTORIAN FILIGREE LARGE,-8.5,2010,12,2010-12,2010Q4,12:29:00,12,29,Sunday,Morning,False,False,False,True
C537132,71279,PINK GLASS CANDLEHOLDER,-2,2010-12-05 12:29:00,2.95,15221,United Kingdom,PINK GLASS CANDLEHOLDER,-5.9,2010,12,2010-12,2010Q4,12:29:00,12,29,Sunday,Morning,False,False,False,True
C537132,22761,CHEST 7 DRAWER MA CAMPAGNE,-2,2010-12-05 12:29:00,21.95,15221,United Kingdom,CHEST 7 DRAWER MA CAMPAGNE,-43.9,2010,12,2010-12,2010Q4,12:29:00,12,29,Sunday,Morning,False,False,False,True
C537132,22769,CHALKBOARD KITCHEN ORGANISER,-8,2010-12-05 12:29:00,21.95,15221,United Kingdom,CHALKBOARD KITCHEN ORGANISER,-175.6,2010,12,2010-12,2010Q4,12:29:00,12,29,Sunday,Morning,False,False,False,True
C537132,22762,CUPBOARD 3 DRAWER MA CAMPAGNE,-3,2010-12-05 12:29:00,12.75,15221,United Kingdom,CUPBOARD 3 DRAWER MA CAMPAGNE,-38.25,2010,12,2010-12,2010Q4,12:29:00,12,29,Sunday,Morning,False,False,False,True
C537143,20685,DOORMAT RED RETROSPOT,-1,2010-12-05 12:58:00,7.95,12748,United Kingdom,DOORMAT RED RETROSPOT,-7.95,2010,12,2010-12,2010Q4,12:58:00,12,58,Sunday,Morning,False,False,False,True
C537157,35953,FOLKART STAR CHRISTMAS DECORATIONS,-24,2010-12-05 13:09:00,1.25,15880,United Kingdom,FOLKART STAR CHRISTMAS DECORATIONS,-30.0,2010,12,2010-12,2010Q4,13:09:00,13,9,Sunday,Afternoon,False,False,False,True
C537203,37449,CERAMIC CAKE STAND + HANGING CAKES,-1,2010-12-05 14:44:00,9.95,14606,United Kingdom,CERAMIC CAKE STAND + HANGING CAKES,-9.95,2010,12,2010-12,2010Q4,14:44:00,14,44,Sunday,Afternoon,False,False,False,True
C537203,21424,WOODLAND STORAGE BOX LARGE ,-1,2010-12-05 14:44:00,2.95,14606,United Kingdom,WOODLAND STORAGE BOX LARGE ,-2.95,2010,12,2010-12,2010Q4,14:44:00,14,44,Sunday,Afternoon,False,False,False,True
C537232,84840,SWEETHEART CARRY-ALL BASKET,-2,2010-12-06 09:31:00,8.5,12586,Italy,SWEETHEART CARRY-ALL BASKET,-17.0,2010,12,2010-12,2010Q4,09:31:00,9,31,Monday,Morning,False,False,False,True
C537234,22653,BUTTON BOX ,-20,2010-12-06 09:40:00,1.95,16161,United Kingdom,BUTTON BOX ,-39.0,2010,12,2010-12,2010Q4,09:40:00,9,40,Monday,Morning,False,False,False,True
C537251,22429,ENAMEL MEASURING JUG CREAM,-2,2010-12-06 10:45:00,4.25,,United Kingdom,ENAMEL MEASURING JUG CREAM,-8.5,2010,12,2010-12,2010Q4,10:45:00,10,45,Monday,Morning,True,False,False,True
C537251,22620,4 TRADITIONAL SPINNING TOPS,-8,2010-12-06 10:45:00,1.25,,United Kingdom,4 TRADITIONAL SPINNING TOPS,-10.0,2010,12,2010-12,2010Q4,10:45:00,10,45,Monday,Morning,True,False,False,True
C537251,21890,S/6 WOODEN SKITTLES IN COTTON BAG,-2,2010-12-06 10:45:00,2.95,,United Kingdom,S/6 WOODEN SKITTLES IN COTTON BAG,-5.9,2010,12,2010-12,2010Q4,10:45:00,10,45,Monday,Morning,True,False,False,True
C537251,22564,ALPHABET STENCIL CRAFT,-5,2010-12-06 10:45:00,1.25,,United Kingdom,ALPHABET STENCIL CRAFT,-6.25,2010,12,2010-12,2010Q4,10:45:00,10,45,Monday,Morning,True,False,False,True
C537251,21891,TRADITIONAL WOODEN SKIPPING ROPE,-3,2010-12-06 10:45:00,1.25,,United Kingdom,TRADITIONAL WOODEN SKIPPING ROPE,-3.75,2010,12,2010-12,2010Q4,10:45:00,10,45,Monday,Morning,True,False,False,True
C537251,22747,POPPY'S PLAYHOUSE BATHROOM,-6,2010-12-06 10:45:00,2.1,,United Kingdom,POPPY'S PLAYHOUSE BATHROOM,-12.600000000000001,2010,12,2010-12,2010Q4,10:45:00,10,45,Monday,Morning,True,False,False,True
C537251,22454,MEASURING TAPE BABUSHKA RED,-8,2010-12-06 10:45:00,2.95,,United Kingdom,MEASURING TAPE BABUSHKA RED,-23.6,2010,12,2010-12,2010Q4,10:45:00,10,45,Monday,Morning,True,False,False,True
